scenario,currency,baseline_eve_try_mn,shocked_eve_try_mn,delta_eve_try_mn,delta_eve_tier1_pct
parallel_up,EUR,-1149.148792,-1213.873976,-64.725184,-0.287667
parallel_up,TRY,43821.685540,40760.618607,-3061.066933,-13.604742
parallel_up,USD,-5281.342317,-5247.926285,33.416032,0.148516
parallel_up,TOTAL,37391.194430,34298.818345,-3092.376085,-13.743894
parallel_down,EUR,-1149.148792,-1053.644648,95.504144,0.424463
parallel_down,TRY,43821.685540,47402.339089,3580.653550,15.914016
parallel_down,USD,-5281.342317,-5298.988321,-17.646004,-0.078427
parallel_down,TOTAL,37391.194430,41049.706120,3658.511690,16.260052
steepener,EUR,-1149.148792,-1328.119466,-178.970674,-0.795425
steepener,TRY,43821.685540,43602.028001,-219.657538,-0.976256
steepener,USD,-5281.342317,-5457.282918,-175.940601,-0.781958
steepener,TOTAL,37391.194430,36816.625617,-574.568813,-2.553639
flattener,EUR,-1149.148792,-991.903948,157.244844,0.698866
flattener,TRY,43821.685540,43390.244002,-431.441537,-1.917518
flattener,USD,-5281.342317,-5104.126305,177.216012,0.787627
flattener,TOTAL,37391.194430,37294.213749,-96.980681,-0.431025
short_up,EUR,-1149.148792,-1050.120364,99.028428,0.440126
short_up,TRY,43821.685540,42207.777730,-1613.907810,-7.172924
short_up,USD,-5281.342317,-5128.965351,152.376967,0.677231
short_up,TOTAL,37391.194430,36028.692016,-1362.502414,-6.055566
short_down,EUR,-1149.148792,-1249.227774,-100.078982,-0.444795
short_down,TRY,43821.685540,45544.540137,1722.854598,7.657132
short_down,USD,-5281.342317,-5441.358050,-160.015733,-0.711181
short_down,TOTAL,37391.194430,38853.954313,1462.759883,6.501155
