scenario,day,base_hqla_try_mn,hqla_try_mn,cumulative_inflows_try_mn,cumulative_outflows_try_mn,cumulative_net_liquidity_try_mn
base,1,59400.000000,59400.000000,0.000000,9356.000000,50044.000000
base,7,59400.000000,59400.000000,0.000000,20583.200000,38816.800000
base,30,59400.000000,59400.000000,0.000000,37424.000000,21976.000000
base,90,59400.000000,59400.000000,50643.538041,43037.600000,67005.938041
base,180,59400.000000,59400.000000,85166.798745,46780.000000,97786.798745
base,365,59400.000000,59400.000000,100106.687657,52393.600000,107113.087657
idiosyncratic,1,59400.000000,59400.000000,0.000000,12352.500000,47047.500000
idiosyncratic,7,59400.000000,59400.000000,0.000000,27175.500000,32224.500000
idiosyncratic,30,59400.000000,59400.000000,0.000000,49410.000000,9990.000000
idiosyncratic,90,59400.000000,59400.000000,37316.291188,56821.500000,39894.791188
idiosyncratic,180,59400.000000,59400.000000,62754.483286,61762.500000,60391.983286
idiosyncratic,365,59400.000000,59400.000000,73762.822484,69174.000000,63988.822484
market_wide,1,59400.000000,59400.000000,0.000000,10757.000000,48643.000000
market_wide,7,59400.000000,59400.000000,0.000000,23665.400000,35734.600000
market_wide,30,59400.000000,59400.000000,0.000000,43028.000000,16372.000000
market_wide,90,59400.000000,59400.000000,39981.740559,49482.200000,49899.540559
market_wide,180,59400.000000,59400.000000,67236.946378,53785.000000,72851.946378
market_wide,365,59400.000000,59400.000000,79031.595519,60239.200000,78192.395519
combined,1,59400.000000,59400.000000,0.000000,15659.000000,43741.000000
combined,7,59400.000000,59400.000000,0.000000,34449.800000,24950.200000
combined,30,59400.000000,59400.000000,0.000000,62636.000000,-3236.000000
combined,90,59400.000000,59400.000000,29319.943077,72031.400000,16688.543077
combined,180,59400.000000,59400.000000,49307.094010,78295.000000,30412.094010
combined,365,59400.000000,59400.000000,57956.503381,87690.400000,29666.103381
rapid_digital_run,1,59400.000000,57940.000000,0.000000,40807.250000,17132.750000
rapid_digital_run,7,59400.000000,57940.000000,0.000000,63065.750000,-5125.750000
rapid_digital_run,30,59400.000000,57940.000000,0.000000,74195.000000,-16255.000000
rapid_digital_run,90,59400.000000,57940.000000,21323.594965,85324.250000,-6060.655035
rapid_digital_run,180,59400.000000,57940.000000,35859.704735,92743.750000,1055.954735
rapid_digital_run,365,59400.000000,57940.000000,42150.184277,103873.000000,-3782.815723
