currency,bucket,signed_balance_try_mn,bucket_order,cumulative_gap_try_mn
EUR,ON-1M,2000.000000,1,2000.000000
EUR,1M-3M,-1058.534013,2,941.465987
EUR,3M-6M,-990.633018,3,-49.167031
EUR,6M-9M,2675.585766,4,2626.418735
EUR,9M-1Y,-3950.832969,5,-1324.414234
EUR,1Y-1.5Y,-626.555385,6,-1950.969619
EUR,1.5Y-2Y,1950.969619,7,0.000000
EUR,2Y-3Y,162.006930,8,162.006930
EUR,3Y-4Y,-1684.154536,9,-1522.147606
EUR,4Y-5Y,-1961.898798,10,-3484.046404
EUR,6Y-7Y,1984.046404,12,-1500.000000
TRY,ON-1M,873.973030,1,873.973030
TRY,1M-3M,-40228.442232,2,-39354.469202
TRY,3M-6M,-792.143967,3,-40146.613169
TRY,6M-9M,-13194.612808,4,-53341.225977
TRY,9M-1Y,6717.473120,5,-46623.752857
TRY,1Y-1.5Y,6798.045520,6,-39825.707337
TRY,1.5Y-2Y,18786.933010,7,-21038.774327
TRY,2Y-3Y,14878.499120,8,-6160.275207
TRY,3Y-4Y,1978.186475,9,-4182.088732
TRY,4Y-5Y,9654.337363,10,5472.248631
TRY,5Y-6Y,-792.984636,11,4679.263995
TRY,6Y-7Y,6232.229570,12,10911.493565
TRY,7Y-8Y,3225.518405,13,14137.011970
TRY,8Y-9Y,11838.158645,14,25975.170615
TRY,9Y-10Y,4024.829385,15,30000.000000
USD,ON-1M,3000.000000,1,3000.000000
USD,1M-3M,-992.316522,2,2007.683478
USD,3M-6M,-4115.949368,3,-2108.265890
USD,6M-9M,2072.545771,4,-35.720119
USD,9M-1Y,-6027.967762,5,-6063.687881
USD,1Y-1.5Y,-106.070498,6,-6169.758379
USD,1.5Y-2Y,-3304.388552,7,-9474.146931
USD,2Y-3Y,119.522921,8,-9354.624010
USD,3Y-4Y,807.931308,9,-8546.692702
USD,5Y-6Y,543.324154,11,-8003.368548
USD,6Y-7Y,2003.368548,12,-6000.000000
