scenario,position_id,side,product,currency,balance_try_mn,repricing_years,shock_bps,pass_through,repriced_fraction,baseline_nii_try_mn,shocked_nii_try_mn,delta_nii_try_mn
parallel_up,AUR-0001,asset,cash_and_reserves,TRY,3765.537777,0.002740,400.000000,1.000000,0.997260,1278.183444,1428.392252,150.208808
parallel_up,AUR-0002,asset,cash_and_reserves,TRY,5296.943868,0.002740,400.000000,1.000000,0.997260,1765.016013,1976.313223,211.297210
parallel_up,AUR-0003,asset,cash_and_reserves,TRY,1981.046922,0.002740,400.000000,1.000000,0.997260,661.261794,740.286548,79.024754
parallel_up,AUR-0004,asset,cash_and_reserves,TRY,956.471433,0.002740,400.000000,1.000000,0.997260,323.016854,361.170882,38.154028
parallel_up,AUR-0005,asset,interbank_assets,TRY,1047.312767,0.136214,400.000000,0.850000,0.863786,408.340283,439.098523,30.758240
parallel_up,AUR-0006,asset,interbank_assets,TRY,4421.826412,0.262374,400.000000,0.850000,0.737626,1722.417593,1833.313833,110.896240
parallel_up,AUR-0007,asset,interbank_assets,TRY,1535.795959,0.249684,400.000000,0.850000,0.750316,601.666389,640.845687,39.179298
parallel_up,AUR-0008,asset,interbank_assets,TRY,995.064862,0.248604,400.000000,0.850000,0.751396,394.669899,420.091283,25.421384
parallel_up,AUR-0009,asset,government_securities,TRY,1165.703656,4.963240,400.000000,0.000000,0.000000,369.901294,369.901294,0.000000
parallel_up,AUR-0010,asset,government_securities,TRY,9984.054409,4.273471,400.000000,0.000000,0.000000,3169.738392,3169.738392,0.000000
parallel_up,AUR-0011,asset,government_securities,TRY,879.317216,8.388446,400.000000,0.000000,0.000000,285.874750,285.874750,0.000000
parallel_up,AUR-0012,asset,government_securities,TRY,4082.365484,1.511682,400.000000,0.000000,0.000000,1298.163402,1298.163402,0.000000
parallel_up,AUR-0013,asset,government_securities,TRY,1650.276104,8.670526,400.000000,0.000000,0.000000,513.139492,513.139492,0.000000
parallel_up,AUR-0014,asset,government_securities,TRY,2260.393878,8.708310,400.000000,0.000000,0.000000,700.542604,700.542604,0.000000
parallel_up,AUR-0015,asset,government_securities,TRY,1836.646369,3.776902,400.000000,0.000000,0.000000,578.023027,578.023027,0.000000
parallel_up,AUR-0016,asset,government_securities,TRY,2141.242884,8.413346,400.000000,0.000000,0.000000,673.975448,673.975448,0.000000
parallel_up,AUR-0017,asset,corporate_bonds,TRY,813.872339,4.762433,400.000000,0.000000,0.000000,288.027451,288.027451,0.000000
parallel_up,AUR-0018,asset,corporate_bonds,TRY,1672.287349,4.774996,400.000000,0.000000,0.000000,585.739748,585.739748,0.000000
parallel_up,AUR-0019,asset,corporate_bonds,TRY,793.528183,3.235996,400.000000,0.000000,0.000000,273.449209,273.449209,0.000000
parallel_up,AUR-0020,asset,corporate_bonds,TRY,720.312129,4.975260,400.000000,0.000000,0.000000,251.285792,251.285792,0.000000
parallel_up,AUR-0021,asset,retail_loans_fixed,TRY,2119.496482,2.213371,400.000000,0.000000,0.000000,987.707382,987.707382,0.000000
parallel_up,AUR-0022,asset,retail_loans_fixed,TRY,309.724757,2.114083,400.000000,0.000000,0.000000,144.538271,144.538271,0.000000
parallel_up,AUR-0023,asset,retail_loans_fixed,TRY,1943.076806,2.045303,400.000000,0.000000,0.000000,904.920617,904.920617,0.000000
parallel_up,AUR-0024,asset,retail_loans_fixed,TRY,1023.744033,1.223127,400.000000,0.000000,0.000000,472.159900,472.159900,0.000000
parallel_up,AUR-0025,asset,retail_loans_fixed,TRY,4634.579222,3.519136,400.000000,0.000000,0.000000,2158.367526,2158.367526,0.000000
parallel_up,AUR-0026,asset,retail_loans_fixed,TRY,2969.378700,3.681330,400.000000,0.000000,0.000000,1401.188699,1401.188699,0.000000
parallel_up,AUR-0027,asset,retail_loans_floating,TRY,1581.532313,0.289864,400.000000,0.850000,0.710136,705.011331,743.196834,38.185503
parallel_up,AUR-0028,asset,retail_loans_floating,TRY,2078.552733,0.267759,400.000000,0.850000,0.732241,934.709824,986.457876,51.748052
parallel_up,AUR-0029,asset,retail_loans_floating,TRY,1585.123379,0.219448,400.000000,0.850000,0.780552,706.132187,748.199409,42.067222
parallel_up,AUR-0030,asset,retail_loans_floating,TRY,1678.492565,0.163315,400.000000,0.850000,0.836685,746.439491,794.188056,47.748565
parallel_up,AUR-0031,asset,retail_loans_floating,TRY,3687.788038,0.095036,400.000000,0.850000,0.904964,1612.212940,1725.681664,113.468724
parallel_up,AUR-0032,asset,retail_loans_floating,TRY,2388.510972,0.311457,400.000000,0.850000,0.688543,1054.642959,1110.559105,55.916145
parallel_up,AUR-0033,asset,mortgages,TRY,6232.229570,6.876291,400.000000,0.000000,0.000000,2308.357255,2308.357255,0.000000
parallel_up,AUR-0034,asset,mortgages,TRY,1513.246414,8.916014,400.000000,0.000000,0.000000,561.653861,561.653861,0.000000
parallel_up,AUR-0035,asset,mortgages,TRY,1229.696098,8.522554,400.000000,0.000000,0.000000,451.693852,451.693852,0.000000
parallel_up,AUR-0036,asset,mortgages,TRY,1670.917721,4.010749,400.000000,0.000000,0.000000,624.586872,624.586872,0.000000
parallel_up,AUR-0037,asset,mortgages,TRY,4024.829385,9.623429,400.000000,0.000000,0.000000,1507.980290,1507.980290,0.000000
parallel_up,AUR-0038,asset,mortgages,TRY,3225.518405,7.652510,400.000000,0.000000,0.000000,1186.912393,1186.912393,0.000000
parallel_up,AUR-0039,asset,mortgages,TRY,2163.986051,8.191318,400.000000,0.000000,0.000000,794.220491,794.220491,0.000000
parallel_up,AUR-0040,asset,mortgages,TRY,1939.576356,4.630808,400.000000,0.000000,0.000000,706.653360,706.653360,0.000000
parallel_up,AUR-0041,asset,sme_loans,TRY,1631.850593,0.447051,400.000000,0.850000,0.552949,731.685742,762.364967,30.679225
parallel_up,AUR-0042,asset,sme_loans,TRY,424.098844,0.247146,400.000000,0.850000,0.752854,193.480309,204.335983,10.855673
parallel_up,AUR-0043,asset,sme_loans,TRY,4759.273133,0.219241,400.000000,0.850000,0.780759,2136.572635,2262.911376,126.338741
parallel_up,AUR-0044,asset,sme_loans,TRY,3609.534815,0.160586,400.000000,0.850000,0.839414,1636.200832,1739.217230,103.016398
parallel_up,AUR-0045,asset,sme_loans,TRY,8376.247143,0.221721,400.000000,0.850000,0.778279,3791.931354,4013.579300,221.647947
parallel_up,AUR-0046,asset,sme_loans,TRY,1504.015181,0.218426,400.000000,0.850000,0.781574,667.706818,707.673789,39.966971
parallel_up,AUR-0047,asset,sme_loans,TRY,3245.873024,0.215806,400.000000,0.850000,0.784194,1469.522855,1556.066256,86.543401
parallel_up,AUR-0048,asset,sme_loans,TRY,1449.107267,0.388147,400.000000,0.850000,0.611853,658.525177,688.670958,30.145781
parallel_up,AUR-0049,asset,corporate_loans_fixed,TRY,952.570714,3.060101,400.000000,0.000000,0.000000,398.101792,398.101792,0.000000
parallel_up,AUR-0050,asset,corporate_loans_fixed,TRY,2272.469657,4.929693,400.000000,0.000000,0.000000,965.781561,965.781561,0.000000
parallel_up,AUR-0051,asset,corporate_loans_fixed,TRY,3230.215974,4.473732,400.000000,0.000000,0.000000,1342.341411,1342.341411,0.000000
parallel_up,AUR-0052,asset,corporate_loans_fixed,TRY,3080.944534,3.886749,400.000000,0.000000,0.000000,1304.261395,1304.261395,0.000000
parallel_up,AUR-0053,asset,corporate_loans_fixed,TRY,497.081276,1.197814,400.000000,0.000000,0.000000,206.706412,206.706412,0.000000
parallel_up,AUR-0054,asset,corporate_loans_fixed,TRY,3966.717845,3.808771,400.000000,0.000000,0.000000,1657.735418,1657.735418,0.000000
parallel_up,AUR-0055,asset,corporate_loans_floating,TRY,4051.687942,0.327427,400.000000,0.850000,0.672573,1659.215724,1751.867625,92.651901
parallel_up,AUR-0056,asset,corporate_loans_floating,TRY,791.198100,0.261626,400.000000,0.850000,0.738374,318.758152,338.620955,19.862804
parallel_up,AUR-0057,asset,corporate_loans_floating,TRY,711.371028,0.480743,400.000000,0.850000,0.519257,292.443164,305.002233,12.559069
parallel_up,AUR-0058,asset,corporate_loans_floating,TRY,1332.032796,0.329455,400.000000,0.850000,0.670545,546.638860,577.007249,30.368390
parallel_up,AUR-0059,asset,corporate_loans_floating,TRY,1594.724418,0.407058,400.000000,0.850000,0.592942,649.550743,681.700432,32.149689
parallel_up,AUR-0060,asset,corporate_loans_floating,TRY,6518.985716,0.467816,400.000000,0.850000,0.532184,2672.617714,2790.573910,117.956196
parallel_up,AUR-0061,asset,cash_and_reserves,USD,393.824406,0.002740,200.000000,1.000000,0.997260,18.339729,26.194636,7.854907
parallel_up,AUR-0062,asset,cash_and_reserves,USD,2486.100245,0.002740,200.000000,1.000000,0.997260,114.676744,164.262510,49.585767
parallel_up,AUR-0063,asset,cash_and_reserves,USD,120.075349,0.002740,200.000000,1.000000,0.997260,4.827201,7.222128,2.394927
parallel_up,AUR-0064,asset,government_securities,USD,934.013064,6.064774,200.000000,0.000000,0.000000,49.153726,49.153726,0.000000
parallel_up,AUR-0065,asset,government_securities,USD,1453.307298,1.325049,200.000000,0.000000,0.000000,68.342415,68.342415,0.000000
parallel_up,AUR-0066,asset,government_securities,USD,1069.355484,6.828868,200.000000,0.000000,0.000000,54.243838,54.243838,0.000000
parallel_up,AUR-0067,asset,government_securities,USD,543.324154,5.100360,200.000000,0.000000,0.000000,26.683432,26.683432,0.000000
parallel_up,AUR-0068,asset,corporate_loans,USD,1296.949256,0.393651,200.000000,0.850000,0.606349,99.504515,112.873381,13.368866
parallel_up,AUR-0069,asset,corporate_loans,USD,1527.584596,0.481220,200.000000,0.850000,0.518780,135.764921,149.237087,13.472166
parallel_up,AUR-0070,asset,corporate_loans,USD,2657.761382,0.483551,200.000000,0.850000,0.516449,216.859083,240.193253,23.334170
parallel_up,AUR-0071,asset,corporate_loans,USD,2048.121070,0.319120,200.000000,0.850000,0.680880,182.567177,206.274097,23.706919
parallel_up,AUR-0072,asset,corporate_loans,USD,2072.545771,0.275374,200.000000,0.850000,0.724626,179.340992,204.871941,25.530949
parallel_up,AUR-0073,asset,corporate_loans,USD,1397.037925,0.367840,200.000000,0.850000,0.632160,121.977407,136.990982,15.013575
parallel_up,AUR-0074,asset,cash_and_reserves,EUR,627.151242,0.002740,225.000000,1.000000,0.997260,15.093398,29.165637,14.072239
parallel_up,AUR-0075,asset,cash_and_reserves,EUR,866.535489,0.002740,225.000000,1.000000,0.997260,22.335030,41.778657,19.443627
parallel_up,AUR-0076,asset,cash_and_reserves,EUR,506.313269,0.002740,225.000000,1.000000,0.997260,11.430883,22.791717,11.360834
parallel_up,AUR-0077,asset,government_securities,EUR,1144.878887,6.918647,225.000000,0.000000,0.000000,48.535664,48.535664,0.000000
parallel_up,AUR-0078,asset,government_securities,EUR,839.167517,6.219259,225.000000,0.000000,0.000000,29.019395,29.019395,0.000000
parallel_up,AUR-0079,asset,government_securities,EUR,162.006930,2.908558,225.000000,0.000000,0.000000,5.978078,5.978078,0.000000
parallel_up,AUR-0080,asset,government_securities,EUR,853.946666,3.102259,225.000000,0.000000,0.000000,31.420165,31.420165,0.000000
parallel_up,AUR-0081,asset,corporate_loans,EUR,1110.548767,0.498532,225.000000,0.850000,0.501468,80.292387,90.943189,10.650802
parallel_up,AUR-0082,asset,corporate_loans,EUR,1220.613688,0.249911,225.000000,0.850000,0.750089,85.881720,103.391975,17.510255
parallel_up,AUR-0083,asset,corporate_loans,EUR,3594.544328,0.297430,225.000000,0.850000,0.702570,251.385536,299.684174,48.298639
parallel_up,AUR-0084,asset,corporate_loans,EUR,361.741907,0.369917,225.000000,0.850000,0.630083,27.376779,31.735891,4.359112
parallel_up,AUR-0085,asset,corporate_loans,EUR,712.551310,0.097923,225.000000,0.850000,0.902077,49.665895,61.958989,12.293094
parallel_up,AUR-0086,liability,demand_deposits,TRY,5187.051663,0.374173,400.000000,0.420000,0.625827,-944.627983,-999.164093,-54.536109
parallel_up,AUR-0087,liability,demand_deposits,TRY,3950.473954,0.208395,400.000000,0.420000,0.791605,-721.819737,-774.356948,-52.537211
parallel_up,AUR-0088,liability,demand_deposits,TRY,6357.318781,0.657536,400.000000,0.420000,0.342464,-1168.218038,-1204.794206,-36.576167
parallel_up,AUR-0089,liability,demand_deposits,TRY,906.552056,0.406497,400.000000,0.420000,0.593503,-161.364462,-170.403557,-9.039095
parallel_up,AUR-0090,liability,demand_deposits,TRY,5550.789430,0.281389,400.000000,0.420000,0.718611,-991.756772,-1058.769592,-67.012820
parallel_up,AUR-0091,liability,demand_deposits,TRY,2484.619448,0.360155,400.000000,0.420000,0.639845,-450.226834,-476.934992,-26.708158
parallel_up,AUR-0092,liability,demand_deposits,TRY,2509.356098,0.542266,400.000000,0.420000,0.457734,-442.835255,-462.132031,-19.296776
parallel_up,AUR-0093,liability,demand_deposits,TRY,2143.673465,0.524379,400.000000,0.420000,0.475621,-377.894647,-395.023526,-17.128879
parallel_up,AUR-0094,liability,demand_deposits,TRY,1496.990275,0.219695,400.000000,0.420000,0.780305,-269.750702,-289.374933,-19.624231
parallel_up,AUR-0095,liability,demand_deposits,TRY,4413.174830,0.252821,400.000000,0.420000,0.747179,-791.714473,-847.111324,-55.396850
parallel_up,AUR-0096,liability,term_deposits,TRY,1639.919133,0.740240,400.000000,0.000000,0.259760,-594.637990,-594.637990,0.000000
parallel_up,AUR-0097,liability,term_deposits,TRY,3727.635531,0.189921,400.000000,0.000000,0.810079,-1366.895843,-1366.895843,0.000000
parallel_up,AUR-0098,liability,term_deposits,TRY,5256.748147,0.179381,400.000000,0.000000,0.820619,-1947.504704,-1947.504704,0.000000
parallel_up,AUR-0099,liability,term_deposits,TRY,6757.056700,0.239455,400.000000,0.000000,0.760545,-2464.601092,-2464.601092,0.000000
parallel_up,AUR-0100,liability,term_deposits,TRY,1904.461384,0.561960,400.000000,0.000000,0.438040,-697.060291,-697.060291,0.000000
parallel_up,AUR-0101,liability,term_deposits,TRY,1658.774023,0.842753,400.000000,0.000000,0.157247,-610.401272,-610.401272,0.000000
parallel_up,AUR-0102,liability,term_deposits,TRY,1927.268246,0.159576,400.000000,0.000000,0.840424,-702.293889,-702.293889,0.000000
parallel_up,AUR-0103,liability,term_deposits,TRY,4320.485062,0.457907,400.000000,0.000000,0.542093,-1584.447814,-1584.447814,0.000000
parallel_up,AUR-0104,liability,term_deposits,TRY,7862.775792,0.722271,400.000000,0.000000,0.277729,-2867.905247,-2867.905247,0.000000
parallel_up,AUR-0105,liability,term_deposits,TRY,6713.866407,0.082140,400.000000,0.000000,0.917860,-2476.661193,-2476.661193,0.000000
