currency,bucket,asset_try_mn,liability_try_mn,bucket_order,gap_try_mn,cumulative_gap_try_mn
EUR,ON-1M,2000.000000,0.000000,1,2000.000000,2000.000000
EUR,1M-3M,1933.164998,1058.534013,2,874.630985,2874.630985
EUR,3M-6M,5066.835002,6564.597875,3,-1497.762873,1376.868112
EUR,6M-9M,0.000000,1926.035143,4,-1926.035143,-549.167031
EUR,9M-1Y,0.000000,3950.832969,5,-3950.832969,-4500.000000
EUR,2Y-3Y,162.006930,0.000000,8,162.006930,-4337.993070
EUR,3Y-4Y,853.946666,0.000000,9,853.946666,-3484.046404
EUR,6Y-7Y,1984.046404,0.000000,12,1984.046404,-1500.000000
TRY,ON-1M,12000.000000,11126.026970,1,873.973030,873.973030
TRY,1M-3M,32448.619710,47718.284090,2,-15269.664380,-14395.691350
TRY,3M-6M,28551.380290,27079.410264,3,1471.970026,-12923.721324
TRY,6M-9M,0.000000,22417.504653,4,-22417.504653,-35341.225977
TRY,9M-1Y,0.000000,1658.774023,5,-1658.774023,-37000.000000
TRY,1Y-1.5Y,1520.825309,996.718815,6,524.106494,-36475.893506
TRY,1.5Y-2Y,4082.365484,2272.545453,7,1809.820031,-34666.073475
TRY,2Y-3Y,4372.298045,0.000000,8,4372.298045,-30293.775430
TRY,3Y-4Y,18234.365567,701.445736,9,17532.919831,-12760.855599
TRY,4Y-5Y,23469.409590,5236.305360,10,18233.104230,5472.248631
TRY,5Y-6Y,0.000000,792.984636,11,-792.984636,4679.263995
TRY,6Y-7Y,6232.229570,0.000000,12,6232.229570,10911.493565
TRY,7Y-8Y,3225.518405,0.000000,13,3225.518405,14137.011970
TRY,8Y-9Y,11838.158645,0.000000,14,11838.158645,25975.170615
TRY,9Y-10Y,4024.829385,0.000000,15,4024.829385,30000.000000
USD,ON-1M,3000.000000,0.000000,1,3000.000000,3000.000000
USD,1M-3M,0.000000,5844.991326,2,-5844.991326,-2844.991326
USD,3M-6M,11000.000000,12533.436449,3,-1533.436449,-4378.427775
USD,6M-9M,0.000000,729.838115,4,-729.838115,-5108.265890
USD,9M-1Y,0.000000,4891.734110,5,-4891.734110,-10000.000000
USD,1Y-1.5Y,1453.307298,0.000000,6,1453.307298,-8546.692702
USD,5Y-6Y,543.324154,0.000000,11,543.324154,-8003.368548
USD,6Y-7Y,2003.368548,0.000000,12,2003.368548,-6000.000000
