currency,bucket,midpoint_years,base_rate_pct,classification
TRY,ON,0.001370,40.000000,synthetic_curve_calibrated_to_public_market_context
TRY,ON-1M,0.041667,40.000000,synthetic_curve_calibrated_to_public_market_context
TRY,1M-3M,0.166667,39.800000,synthetic_curve_calibrated_to_public_market_context
TRY,3M-6M,0.375000,39.500000,synthetic_curve_calibrated_to_public_market_context
TRY,6M-9M,0.625000,39.000000,synthetic_curve_calibrated_to_public_market_context
TRY,9M-1Y,0.875000,38.200000,synthetic_curve_calibrated_to_public_market_context
TRY,1Y-1.5Y,1.250000,37.500000,synthetic_curve_calibrated_to_public_market_context
TRY,1.5Y-2Y,1.750000,36.800000,synthetic_curve_calibrated_to_public_market_context
TRY,2Y-3Y,2.500000,35.500000,synthetic_curve_calibrated_to_public_market_context
TRY,3Y-4Y,3.500000,34.000000,synthetic_curve_calibrated_to_public_market_context
TRY,4Y-5Y,4.500000,32.500000,synthetic_curve_calibrated_to_public_market_context
TRY,5Y-6Y,5.500000,31.000000,synthetic_curve_calibrated_to_public_market_context
TRY,6Y-7Y,6.500000,29.800000,synthetic_curve_calibrated_to_public_market_context
TRY,7Y-8Y,7.500000,28.800000,synthetic_curve_calibrated_to_public_market_context
TRY,8Y-9Y,8.500000,28.000000,synthetic_curve_calibrated_to_public_market_context
TRY,9Y-10Y,9.500000,27.500000,synthetic_curve_calibrated_to_public_market_context
TRY,10Y-15Y,12.500000,26.500000,synthetic_curve_calibrated_to_public_market_context
TRY,15Y-20Y,17.500000,25.000000,synthetic_curve_calibrated_to_public_market_context
TRY,>20Y,25.000000,24.000000,synthetic_curve_calibrated_to_public_market_context
USD,ON,0.001370,4.350000,synthetic_curve_calibrated_to_public_market_context
USD,ON-1M,0.041667,4.350000,synthetic_curve_calibrated_to_public_market_context
USD,1M-3M,0.166667,4.300000,synthetic_curve_calibrated_to_public_market_context
USD,3M-6M,0.375000,4.250000,synthetic_curve_calibrated_to_public_market_context
USD,6M-9M,0.625000,4.200000,synthetic_curve_calibrated_to_public_market_context
USD,9M-1Y,0.875000,4.150000,synthetic_curve_calibrated_to_public_market_context
USD,1Y-1.5Y,1.250000,4.100000,synthetic_curve_calibrated_to_public_market_context
USD,1.5Y-2Y,1.750000,4.050000,synthetic_curve_calibrated_to_public_market_context
USD,2Y-3Y,2.500000,4.000000,synthetic_curve_calibrated_to_public_market_context
USD,3Y-4Y,3.500000,4.000000,synthetic_curve_calibrated_to_public_market_context
USD,4Y-5Y,4.500000,4.050000,synthetic_curve_calibrated_to_public_market_context
USD,5Y-6Y,5.500000,4.100000,synthetic_curve_calibrated_to_public_market_context
USD,6Y-7Y,6.500000,4.200000,synthetic_curve_calibrated_to_public_market_context
USD,7Y-8Y,7.500000,4.300000,synthetic_curve_calibrated_to_public_market_context
USD,8Y-9Y,8.500000,4.400000,synthetic_curve_calibrated_to_public_market_context
USD,9Y-10Y,9.500000,4.500000,synthetic_curve_calibrated_to_public_market_context
USD,10Y-15Y,12.500000,4.650000,synthetic_curve_calibrated_to_public_market_context
USD,15Y-20Y,17.500000,4.800000,synthetic_curve_calibrated_to_public_market_context
USD,>20Y,25.000000,4.900000,synthetic_curve_calibrated_to_public_market_context
EUR,ON,0.001370,2.900000,synthetic_curve_calibrated_to_public_market_context
EUR,ON-1M,0.041667,2.900000,synthetic_curve_calibrated_to_public_market_context
EUR,1M-3M,0.166667,2.850000,synthetic_curve_calibrated_to_public_market_context
EUR,3M-6M,0.375000,2.800000,synthetic_curve_calibrated_to_public_market_context
EUR,6M-9M,0.625000,2.750000,synthetic_curve_calibrated_to_public_market_context
EUR,9M-1Y,0.875000,2.700000,synthetic_curve_calibrated_to_public_market_context
EUR,1Y-1.5Y,1.250000,2.650000,synthetic_curve_calibrated_to_public_market_context
EUR,1.5Y-2Y,1.750000,2.600000,synthetic_curve_calibrated_to_public_market_context
EUR,2Y-3Y,2.500000,2.600000,synthetic_curve_calibrated_to_public_market_context
EUR,3Y-4Y,3.500000,2.650000,synthetic_curve_calibrated_to_public_market_context
EUR,4Y-5Y,4.500000,2.750000,synthetic_curve_calibrated_to_public_market_context
EUR,5Y-6Y,5.500000,2.850000,synthetic_curve_calibrated_to_public_market_context
EUR,6Y-7Y,6.500000,2.950000,synthetic_curve_calibrated_to_public_market_context
EUR,7Y-8Y,7.500000,3.050000,synthetic_curve_calibrated_to_public_market_context
EUR,8Y-9Y,8.500000,3.150000,synthetic_curve_calibrated_to_public_market_context
EUR,9Y-10Y,9.500000,3.250000,synthetic_curve_calibrated_to_public_market_context
EUR,10Y-15Y,12.500000,3.400000,synthetic_curve_calibrated_to_public_market_context
EUR,15Y-20Y,17.500000,3.550000,synthetic_curve_calibrated_to_public_market_context
EUR,>20Y,25.000000,3.700000,synthetic_curve_calibrated_to_public_market_context
