position_id,side,product,currency,notional_ccy_mn,fx_to_try,balance_try_mn,rate_type,current_rate_pct,maturity_years,repricing_years,hqla_level,asf_factor,rsf_factor,liquidity_days,deposit_beta,data_classification
AUR-0001,asset,cash_and_reserves,TRY,3765.537777,1.000000,3765.537777,overnight,33.944247,0.048599,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0002,asset,cash_and_reserves,TRY,5296.943868,1.000000,5296.943868,overnight,33.321403,0.040314,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0003,asset,cash_and_reserves,TRY,1981.046922,1.000000,1981.046922,overnight,33.379411,0.028550,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0004,asset,cash_and_reserves,TRY,956.471433,1.000000,956.471433,overnight,33.771720,0.019197,0.002740,LEVEL_1,0.000000,0.000000,1,0.000000,deterministic_synthetic_bank_position
AUR-0005,asset,interbank_assets,TRY,1047.312767,1.000000,1047.312767,floating,38.989335,0.136214,0.136214,LEVEL_1,0.000000,0.100000,7,0.000000,deterministic_synthetic_bank_position
AUR-0006,asset,interbank_assets,TRY,4421.826412,1.000000,4421.826412,floating,38.952628,0.262374,0.262374,LEVEL_1,0.000000,0.100000,7,0.000000,deterministic_synthetic_bank_position
AUR-0007,asset,interbank_assets,TRY,1535.795959,1.000000,1535.795959,floating,39.176193,0.348107,0.249684,LEVEL_1,0.000000,0.100000,7,0.000000,deterministic_synthetic_bank_position
AUR-0008,asset,interbank_assets,TRY,995.064862,1.000000,995.064862,floating,39.662731,0.248604,0.248604,LEVEL_1,0.000000,0.100000,7,0.000000,deterministic_synthetic_bank_position
AUR-0009,asset,government_securities,TRY,1165.703656,1.000000,1165.703656,fixed,31.732018,4.963240,4.963240,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0010,asset,government_securities,TRY,9984.054409,1.000000,9984.054409,fixed,31.748008,4.273471,4.273471,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0011,asset,government_securities,TRY,879.317216,1.000000,879.317216,fixed,32.510992,8.388446,8.388446,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0012,asset,government_securities,TRY,4082.365484,1.000000,4082.365484,fixed,31.799294,1.511682,1.511682,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0013,asset,government_securities,TRY,1650.276104,1.000000,1650.276104,fixed,31.094160,8.670526,8.670526,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0014,asset,government_securities,TRY,2260.393878,1.000000,2260.393878,fixed,30.992059,8.708310,8.708310,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0015,asset,government_securities,TRY,1836.646369,1.000000,1836.646369,fixed,31.471656,3.776902,3.776902,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0016,asset,government_securities,TRY,2141.242884,1.000000,2141.242884,fixed,31.475899,8.413346,8.413346,LEVEL_1,0.000000,0.050000,1,0.000000,deterministic_synthetic_bank_position
AUR-0017,asset,corporate_bonds,TRY,813.872339,1.000000,813.872339,fixed,35.389758,4.762433,4.762433,LEVEL_2A,0.000000,0.150000,7,0.000000,deterministic_synthetic_bank_position
AUR-0018,asset,corporate_bonds,TRY,1672.287349,1.000000,1672.287349,fixed,35.026262,4.774996,4.774996,LEVEL_2A,0.000000,0.150000,7,0.000000,deterministic_synthetic_bank_position
AUR-0019,asset,corporate_bonds,TRY,793.528183,1.000000,793.528183,fixed,34.459924,3.235996,3.235996,LEVEL_2A,0.000000,0.150000,7,0.000000,deterministic_synthetic_bank_position
